,0,1,2,3,4,5,6,7,8,9,10,11,12
50,Optimal,Optimal,Optimal,Optimal,Optimal,Optimal,Optimal,Optimal,Optimal,_,Optimal,Optimal,Optimal
100,Optimal,Optimal,Optimal,Optimal,Optimal,Optimal,Optimal,_,Optimal,_,Optimal,_,Optimal
200,Optimal,Optimal,_,Optimal,_,Optimal,Optimal,_,_,_,_,_,_
500,Optimal,Optimal,_,_,_,Optimal,_,_,_,_,_,_,_
1000,Optimal,Optimal,_,_,Optimal,Optimal,Optimal,_,_,_,_,_,Optimal
